Issue,Name,Responder,SIG,KEP,KEP_State,Completed_in_Release
1179,Building Kubernetes Without In-Tree Cloud Providers,BenTheElder,cloud-provider,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cloud-provider/20190729-building-without-in-tree-providers.md,implementable,1.17
1186,Add status code and content check for HTTP ProbeÂ,konghui,api-machinery,https://github.com/kubernetes/enhancements/pull/1187,provisional,
1206,Kubernetes Metrics Overhaul,brancz,instrumentation,https://github.com/kubernetes/enhancements/blob/master/keps/sig-instrumentation/20181106-kubernetes-metrics-overhaul.md,implementable,
1208,Add ReadOnlyBindAddress field in KubeletConfiguration,jfbai mtaufen,api-machinery,https://github.com/kubernetes/enhancements/pull/1212,implementable,
1217,Support for master service of type ExternalName,mvladev,api-machinery,https://github.com/kubernetes/enhancements/pull/1216,provisional,
1258,Add a configurable default Even Pod Spreading rule,alculquicondor,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20190926-default-even-pod-spreading.md,implementable,
1281,API Server Network Proxy KEP to Beta,cheftako,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190226-network-proxy.md,implementable,
1287,Tracking open issues for 'In-Place Update of Pod Resources' KEP,vinaykul,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20181106-in-place-update-of-pod-resources.md,implementable,
1301,Implement RuntimeClass on Windows,PatrickLang,windows,https://github.com/kubernetes/enhancements/blob/master/keps/sig-windows/windows-runtimeclass-support.md,implementable,
1314,Extended NodeRestrictions for Pods,tallclair,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/20190916-noderestriction-pods.md,implementable,
1315,Seeking Consensus on API Operation/Endpoint Conformance Test Coverage,hh,architecture,https://github.com/kubernetes/enhancements/pull/1306,provisional,
1326,Seeking consensus on 3rd party content in documentation,sftim,docs,https://github.com/kubernetes/enhancements/pull/1327,provisional,
1333,Enable running conformance tests without beta REST APIs or features,liggit,architecture,https://github.com/kubernetes/enhancements/blob/master/keps/sig-architecture/20191023-conformance-without-beta.md#graduation-criteria,implementable,
1339,kubectl drain additional features to support usage as library in controllers,michaelgugino,cli,No KEP,none,
1352,Enhance daemonset on rollingupdate,zhangxiaoyu-zidif,apps,https://github.com/kubernetes/enhancements/pull/1140,provisional,
1355,add priority to favor nodes with least non ready pods,sparciii,scheduling,https://github.com/kubernetes/enhancements/pull/1356,provisional,
1357,Add flag to components to controller recording event level,jfbai,api-machinery,No KEP,none,
1381,New kubeadm component config scheme,rosti,cluster-lifecycle,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cluster-lifecycle/kubeadm/20190925-component-configs.md,implementable,
1384,Storage resource governance (QoS),PatrickLang kkmsft,windows,No KEP,none,
